"","AID","CID","CitedAs","Locatable","CitationDetail_RG","FulltextAvailable","DOI_RG","AuthorUpload","SourcePubs","SourcePreprint","SourceRepo","SourceWebsite","SourceURl","SourceDOI","ItemClass","Copyrighted","Licensed","HCISI","PT","AU","BA","CA","GP","RI","OI","BE","Z2","TI","X1","Y1","Z1","FT","PN","AE","Z3","SO","S1","SE","BS","VL","IS","SI","MA","BP","EP","AR","DI","D2","SU","PD","PY","AB","X4","Y4","Z4","AK","CT","CY","SP","CL","TC","Z8","ZB","ZS","Z9","SN","BN","UT","PM"
"897","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"898","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"899","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"8910","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"90","E090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Marquardt, W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Traveling Waves in Chemical Processes",NA,NA,NA,"30","4",NA,NA,"585","606",NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"91","E091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Mateljevic, M.",NA,NA,NA,NA,NA,NA,NA,"Note on rigidty of holomorphic mappings & Schwarz and Jack lemma",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"92","E092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Matveev, V",NA,NA,NA,NA,NA,NA,NA,"What is your opinion on this paper?",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"93","E093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","McRobie, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rankine reciprocals with zero bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"931","E093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","McRobie, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rankine reciprocals with zero bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"932","E093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","McRobie, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rankine reciprocals with zero bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"94","E094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Meier, ML",NA,NA,NA,NA,NA,NA,NA,"Using X-ray diffraction to measure changes in unit cell dimensions due to alloying",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"941","E094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Meier, ML",NA,NA,NA,NA,NA,NA,NA,"Using X-ray diffraction to measure changes in unit cell dimensions due to alloying",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"95","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"951","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"952","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"953","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"954","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"955","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"956","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"957","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"958","E095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,NA,NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF INVESTIGATIVE DERMATOLOGY",NA,NA,NA,"134",NA,NA,NA,"S30","S30",NA,NA,NA,NA,"SEP 2014",2014,NA,NA,NA,NA,NA,"44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR)","SEP 10-13, 2014","European Soc Dermatol Res","Copenhagen, DENMARK",9,NA,NA,NA,NA,NA,NA,NA,NA
"96","E096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Meyer, E.",NA,NA,NA,NA,NA,NA,NA,"Massive Open Oline Courses (MOOCS): a research brief",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.4430.6406",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"97","E097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Na, K; Chaves, A; Pellegrino, JP",NA,NA,NA,NA,NA,NA,NA,"A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"14",NA,NA,NA,"397","400",NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"98","E098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Naranjo-Madrigal, H.",NA,NA,NA,NA,NA,NA,NA,"Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo",NA,NA,NA,NA,NA,NA,NA,"Researchgate. net.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.4326.2965",NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"99","E099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.",NA,NA,NA,NA,NA,NA,NA,"Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"5","4",NA,NA,NA,NA,NA,NA,NA,NA,"August",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"100","E100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Norman, L; Thomas, DN",NA,NA,NA,NA,NA,NA,NA,"Long-term storage of riverine dissolved organic carbon. Technical note",NA,NA,NA,NA,NA,NA,NA,"ResearchGate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/2.1.3331.5200",NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"101","E101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Norman, L.; Thomas, D. N.",NA,NA,NA,NA,NA,NA,NA,"Long-term storage of riverine dissolved organic carbon, Technical note",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/2.1.3331.5200",NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"102","E102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Nzihou, Ange; Stanmore, B. R.",NA,NA,NA,NA,NA,NA,NA,"The Formation of Aerosols During the Co-combustion of Coal and Biomass",NA,NA,NA,NA,NA,NA,NA,"WASTE AND BIOMASS VALORIZATION",NA,NA,NA,"6","6",NA,NA,"947","957",NA,"10.1007/s12649-015-9390-3",NA,NA,"DEC 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"1021","E102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Nzihou, Ange; Stanmore, B. R.",NA,NA,NA,NA,NA,NA,NA,"The Formation of Aerosols During the Co-combustion of Coal and Biomass",NA,NA,NA,NA,NA,NA,NA,"WASTE AND BIOMASS VALORIZATION",NA,NA,NA,"6","6",NA,NA,"947","957",NA,"10.1007/s12649-015-9390-3",NA,NA,"DEC 2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"103","E103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Oetzel, M.; Heger, G.; Koslowski, T.",NA,NA,NA,NA,NA,NA,NA,"Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"53",NA,NA,NA,"254","361",NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"104","E104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Omboni, S.; Isasti, G.",NA,NA,NA,NA,NA,NA,NA,"How to Measure Interbeat Interval in Human Patients",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan. 18,",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"105","E105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","O'Reilly-Shah, V; Mackey, S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"106","E106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.",NA,NA,NA,NA,NA,NA,NA,"Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"107","E107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","[Anonymous]",NA,NA,NA,NA,NA,NA,NA,"Clay pan, 'Is China an Emerging Sanctioning State?",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"108","E108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.",NA,NA,NA,NA,NA,NA,NA,"Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"8","19",NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"109","E109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Petch, N.J.",NA,NA,NA,NA,NA,NA,NA,"The cleavage strength of polycrystals",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"173",NA,NA,NA,"25","28",NA,NA,NA,NA,NA,1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"110","E110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A",NA,NA,NA,NA,NA,NA,NA,"Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"111","E111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Popova, NA; Sheka, EF",NA,NA,NA,NA,NA,NA,NA,"Mechanochemical reaction in graphane under uniaxial tension",NA,NA,NA,NA,NA,NA,NA,"Researchgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"112","E112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J",NA,NA,NA,NA,NA,NA,NA,"Trajectory of body weight of performance tested dual-purpose bulls.",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"113","E113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H",NA,NA,NA,NA,NA,NA,NA,"A double inequality for an integral mean in terms of the exponential and logarithmic means",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.13140/RG.2.1.2353.6800",NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"114","E114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Rabin, M.O.; Thorpe, C.",NA,NA,NA,NA,NA,NA,NA,"Time-laspe cryptography",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"1","16",NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"115","E115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.",NA,NA,NA,NA,NA,NA,NA,"Rogue waves of the nonlocal Davey-Stewartson I equation",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"116","E116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","[Anonymous]",NA,NA,NA,NA,NA,NA,NA,"Improvement of contusive spinal cord injury in rats by co- transplantation of gamma- aminobutyric acidergic cells and bone marrow stromal cells",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"117","E117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J",NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"118","E118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J",NA,NA,"ResearchGate",NA,NA,NA,NA,NA,"Researcher partly validates results of controversial stem cell study",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apr 1",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
