,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
223,A292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Trapero, J.R.",NA,NA,NA,Estimation of solar irradiation prediction intervals combining volatility and kernel density estimates,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
325,A293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tripathia, R. M.; Shrivastava, A.; Kumar, N.; Bhadwaib, A. S.; Kumar, R.; Guptab, R. P.; Shrivastavad, B. R.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
224,A294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Trotteyn, M. J.",NA,NA,NA,Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
327,A295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tsaknaki, V; Fernaeus, Y; Schaub, M",NA,NA,NA,Leather as a material for crafting interactive and physical artifacts,NA,NA,Research Gate,5,NA,5,14,NA,NA,NA,2014,NA,NA,NA,NA,1
328,A296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tschinkel, Brian; Esantsi, Bernard; Iacovelli, Dominick; Nagesar, Padma; Walz, Richard; Monaco, Vinnie; Bakelman, Ned",NA,NA,NA,Keylogger Keystroke Biometric System,NA,NA,Research Gate.,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
225,A297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tversky, A; Kahneman, D",NA,NA,NA,Evidential Impact of Base Rates,NA,NA,ResearchGate.,NA,NA,29,29,NA,NA,NA,1981,NA,NA,NA,NA,1
329,A298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ukani, Vijay S.",NA,NA,NA,Testing Video Transmission in NS-2 Using The Evalvid Framework,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,July,2015,NA,NA,NA,NA,2
226,A299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ukani, Vijay; Thacker, Dhaval",NA,NA,NA,NA,NA,NA,QoS Aware Geographic Routing Protocol for Multimedia Transmission in Wireless Sensornetwork,NA,NA,NA,NA,NA,DOI 10.1109/NUICONE.2015.7449639,November,2015,NA,NA,NA,NA,1
330,A300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Vahedi, Hani; Al-Haddad, Kamal; Ounejjar, Youssef",NA,NA,NA,Crossover Switches Cell (CSC): A New Multilevel Inverter Topology with Maximum Voltage Levels and Minimum DC Sources,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
229,A301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Valverde-Rebaza, J; Valejo, A",NA,NA,NA,a naive bayes model based on ovelapping groups for link prediction in online social networks,NA,NA,researchgate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
230,A302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"van Borkulo, CD; Waldorp, LJ; Boschloo, L",NA,NA,NA,Comparing network structures on three aspects: a permutation test,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
232,A303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"van der Weijde, A. H.; Hobbs, B. F.",NA,NA,NA,Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty,NA,NA,Research Gate,34,6,NA,NA,NA,NA,Nov.,2012,NA,NA,NA,NA,1
233,A304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Van Keulen, M; Otten, W; Ruiter, R; Van Steenbergen, J; Fekkes, M; Paulussen, TW",NA,NA,NA,Researchgate,NA,NA,Redenen om zich te laten vaccineren tegen HPV,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
234,A305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Vanrolleghem, P.A.; Insel, G.; Petersen, B.; Sin, G.; Pauw, D.D.; Nopens, I.; Dovermann, H.; Weijers, S.; Gernaey, K",NA,NA,NA,A comprehensive model calibration procedure for activated sludge models,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
235,A306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Velmurugan, D. T.",NA,NA,NA,Efficiency of k-Means and K-Medoids Algorithms for Clustering Arbitrary Data Points,NA,NA,ResearchGate,3,5,1758,1764,NA,NA,Oct.,2012,NA,NA,NA,NA,1
236,A307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Verdelhos, T.; Cardoso, P.G.; MaP, M.D",NA,NA,NA,"Latitudinal gradients in Scrobicularia plana reproduction patterns, population dynamics, growth, and secondary production",NA,NA,ResearchGate,442,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
237,A308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Voipio-Pulkki, LM; Nuutila, P; Knuuti, MJ; Ruotsalainen, U; Haaparanta, M; Teras, M",NA,NA,NA,Heart and skeletal muscle glucose disposal in type 2 diabetic patients as determined by positron emission tomography,NA,NA,ResearchGate.,34,12,2064,7,NA,NA,1-Jan,1994,NA,NA,NA,NA,1
332,A309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Vojvodic, Svetlana; Popovic, Stevan; Macukanovic-Golubovic, Lana",NA,NA,NA,[Implications of HLA linkage disequilibrium phenomenon in finding unrelated volunteer bone marrow donors].,NA,NA,Medicinski pregled,60,4-Mar,178,82,NA,NA,2007 Mar-Apr,2007,NA,NA,NA,NA,1
238,A310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wang, W.; Li, S.; Qi, H.; Ayhan, B.; Kwan, C.; Vance, S.",NA,NA,NA,Revisiting the preprocessing procedures for elemental concentration estimation based on CHEMCAM LIBS on MARS Rover,NA,NA,RESEARCHGATE,NA,NA,NA,NA,NA,NA,NA,2014,6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,NA,NA,NA,1
239,A311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Watthanaworawit, W.; Turner, P.; Turner, C. L.; Tanganuchitcharnchai, A.; Jarman, E. G.; Blacksell, S. D.; Nosten, F. H.",NA,NA,NA,A prospective evaluation of diagnostic methodologies for the acute diagnosis of dengue virus infection on the Thailand-Myanmar border,NA,NA,ResearchGate,105,NA,32,37,NA,NA,NA,2010,NA,NA,NA,NA,1
240,A312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Weber, J S; Fritz, J; Denger, A; Maletz, M; Zingel, C; Denger, D",NA,NA,NA,Synergien in der modellbasierten Antriebsstrang-und Testsystem-Entwicklung-Model-Based Systems Engineering in der industriellen Anwendung. Conference Paper,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,November,2014,NA,NA,NA,NA,1
242,A313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wilson, M.; Zolfaghari, P.; Griffin, C.; Lockey, D.; Tolias, C.; Verma, V.",NA,NA,NA,The future of traumatic brain injury research,NA,NA,ResearchGate,22,1,766,766,NA,NA,Dec,2014,NA,NA,NA,NA,1
243,A314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wolpert, D. H.; Macready, W. G.",NA,NA,NA,Self-Dissimilarity: An Empirical Measure of Complexity,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,1
333,A315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Woodward, E.; Jagdev, S.; McParland, L.; Clark, K.; Gregory, W.; Newsham, A.",NA,NA,NA,Skeletal complications and survival in renal cancer patients with bone metastases,NA,NA,Research Gate,48,1,1606,1606,NA,NA,NA,2011,NA,NA,NA,NA,1
244,A316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Xi, B. Y.; Bai, S. P.; Qi, F.",NA,NA,NA,NA,NA,NA,"Some new inequalities of Hermite-Hadamard type for (a, mi)-(s, m2)-convex functions on coordinates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
245,A317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Xiao, Y.; Wehrs, J.; Ma, H.; Al-Samman, T.; Korte-Kerzel, S.; Gken, M.; Michler, J.; Spolenak, R.; Wheeler, J.M.",NA,NA,NA,Investigation of the deformation behavior of aluminum micropillars produced by focused ion beam machining using Ga and Xe ions,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
246,A318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yang, M.; Blyth, W.",NA,NA,NA,Modeling Investment Risks and Uncertainties with Real-Options Approach,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2007,NA,NA,NA,NA,1
334,A319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yildirim, Ahmet A; OZdogan, Cem; Watson, Dan",NA,NA,NA,Parallel Data Reduction Techniques for Big Data sets,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
247,A320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yin, H.; Schonhals, A.",NA,NA,NA,Broadband Dielectric Spectroscopy on Polymer Blends,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
335,A321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yoon, Byung-jun",NA,NA,NA,HMM with auxiliary memory: Anew tool for modelling RNA secondary structures,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
248,A322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A",NA,NA,NA,Goseq: gene ontology testing for RNA-seq datasets,NA,NA,ResearchGate,NA,NA,1,26,NA,NA,NA,2012,NA,NA,NA,NA,2
228,A323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yuzhakov, V.V.",NA,NA,NA,The AdminPenTM microneedle device for painless & convenient drug delivery,NA,NA,Drug Deliv.ery Technol,10,4,32,36,NA,NA,NA,2010,NA,NA,NA,NA,2
15,A324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhan, Jianfeng",NA,NA,NA,NA,NA,NA,"Big Data Benchmarks, Performance Optimization, and Emerging Hardware: 4th and 5th Workshops",NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
249,A325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, D; Li, N; Zhou, ZH; Chen, C; Sun, L; Li, S",NA,NA,NA,iBAT: detecting anomalous taxi trajectories from GPS traces. IBAT: detecting anomalous taxi trajectories from GPS traces,NA,NA,ResearchGate,NA,NA,99,108,NA,NA,NA,2011,NA,NA,NA,NA,1
336,A326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, G.; Wang, G.; Farhangi, H.; Palizban, A.",NA,NA,NA,Short-Term Load Forecasting of Active and Reactive Powers in Small Scales using LASSO-Integrated Nonlinear Autoregressive Neural Networks,NA,NA,Research Gate,1,NA,5,5,NA,NA,october,2016,NA,NA,NA,NA,1
337,A327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, J.; Chua, H. C.; Zhou, J.; Fane, A. G.",NA,NA,NA,NA,NA,NA,research gate,NA,NA,54,66,NA,NA,NA,NA,NA,NA,NA,NA,1
123,A328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,NA,NA,NA,Strukturmodell des Rezeptors,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
185,A329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,ResearchGate,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
186,A330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,ResearchGate,NA,NA,Researcher partly validates results of controversial stem cell study,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,1-Apr,2014,NA,NA,NA,NA,1
241,A331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,"Wikipedia, ResearchGate",NA,NA,NA,NA,NA,RESEARCHGATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
