,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
1651,P165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nzihou, Ange; Stanmore, B. R.",NA,NA,NA,The Formation of Aerosols During the Co-combustion of Coal and Biomass,NA,NA,WASTE AND BIOMASS VALORIZATION,6,6,947,957,NA,10.1007/s12649-015-9390-3,Dec-15,2015,NA,NA,NA,NA,2
166,P166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Oetzel, M.; Heger, G.; Koslowski, T.",NA,NA,NA,Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20,NA,NA,ResearchGate,53,NA,254,361,NA,NA,NA,2000,NA,NA,NA,NA,1
167,P167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Omboni, S.; Isasti, G.",NA,NA,NA,How to Measure Interbeat Interval in Human Patients,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,"Jan. 18,",2013,NA,NA,NA,NA,1
168,P168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"O'Reilly-Shah, V; Mackey, S",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
169,P169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.",NA,NA,NA,"Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
170,P170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.",NA,NA,NA,"Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III",NA,NA,ResearchGate,NA,NA,8,19,NA,NA,NA,2014,NA,NA,NA,NA,1
171,P171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Payne, H. J.",NA,NA,NA,Models of Freeway Traffic and Control,NA,NA,Research Gate,28,NA,51,61,NA,NA,Jan.,1971,NA,NA,NA,NA,1
172,P172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Perera, A. S.; Perrizo, W.",NA,NA,NA,Gene Function Prediction,NA,NA,ResearchGate,NA,NA,26,31,NA,NA,NA,2009,NA,NA,NA,NA,1
173,P173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Petch, N.J.",NA,NA,NA,The cleavage strength of polycrystals,NA,NA,ResearchGate,173,NA,25,28,NA,NA,NA,1953,NA,NA,NA,NA,1
174,P174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A",NA,NA,NA,Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant,NA,NA,ResearchGate,4,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,1
175,P175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Popova, NA; Sheka, EF",NA,NA,NA,Mechanochemical reaction in graphane under uniaxial tension,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
176,P176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Prahallad, Kishore; Sangal, Rajeev",NA,NA,NA,A Data-Driven Synthesis Approach for Indian Languages using Syllable as aBasic Unit,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,January,2002,NA,NA,NA,NA,1
177,P177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Prahl, S.",NA,NA,NA,Optical property measurements using the inverse adding- doubling program,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,March,1995,NA,NA,NA,NA,1
178,P178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J",NA,NA,NA,Trajectory of body weight of performance tested dual-purpose bulls.,NA,NA,ResearchGate,52,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
179,P179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H",NA,NA,NA,A double inequality for an integral mean in terms of the exponential and logarithmic means,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.2353.6800,NA,2015,NA,NA,NA,NA,1
180,P180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rabin, M.O.; Thorpe, C.",NA,NA,NA,Time-laspe cryptography,NA,NA,ResearchGate,NA,NA,1,16,NA,NA,NA,2007,NA,NA,NA,NA,1
181,P181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Racuciu, M",NA,NA,NA,NA,NA,NA,Researchgate,2015,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
182,P182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.",NA,NA,NA,Rogue waves of the nonlocal Davey-Stewartson I equation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
183,P183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,[Anonymous],NA,NA,NA,Improvement of contusive spinal cord injury in rats by co- transplantation of gamma- aminobutyric acidergic cells and bone marrow stromal cells,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
184,P184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,[Anonymous],NA,NA,NA,Academic paper insights: Investment decision making by using fuzzy candlestick pattern and genetic algorithm,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
185,P185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,ResearchGate,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
186,P186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,ResearchGate,NA,NA,Researcher partly validates results of controversial stem cell study,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,1-Apr,2014,NA,NA,NA,NA,1
187,P187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,[Anonymous],NA,NA,NA,Supplementary material- NPh 17044SS,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,20-Jun,2017,NA,NA,NA,NA,1
188,P188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ribeiro, M J; Labrincha, J A; Ferreira, J",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,1,19,NA,NA,NA,2003,NA,NA,NA,NA,1
189,P189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rico, A.; Ruchkin, I.; Schmerl, B.; Garlan, D.",NA,NA,NA,Hardware Power Modeling for Turtlebot,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jul.,2016,NA,NA,NA,NA,1
190,P190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",NA,NA,NA,MICROMORPH&TRADE; Technology: Introduction and the Path to Record Efficiencies,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
191,P191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",NA,NA,NA,MICROMORPHrm Technology: introduction and the path to record efficiencies,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.1628.8804,NA,2015,NA,NA,NA,NA,1
192,P192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rossello-Busquet, Ana; Soler, Jose",NA,NA,NA,Towards Efficient Energy Management: Defining HEMS and Smart Grid Objectives,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
193,P193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Schindel, W.",NA,NA,NA,What is the Smallest Model of a System?,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
194,P194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Scrucca, L.; Fop, M.; Murphy, T. B.; Raftery, A. E.",NA,NA,NA,"mclust 5: Clustering, Classification and Density Estimation Using Gaussian Finite Mixture Models",NA,NA,ResearchGate,8,1,204,233,NA,NA,NA,2016,NA,NA,NA,NA,1
195,P195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Forshaw, SD",NA,NA,NA,Memory of a universal mind. Galactic structures and their existence as cognitive operators in an emerging universally conscious machine,NA,NA,ResearchGate,NA,NA,NA,NA,309209078,NA,NA,2016,NA,NA,NA,NA,1
196,P196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Serio, R.; Billack, B.",NA,NA,NA,Potential Tumor Biomarkers for Ovarian Cancer,NA,NA,Researchgate. Net,125,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
197,P197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Akdemir, AO; Celik, B",NA,NA,NA,On generalization of Fejer type inequalities via fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
198,P198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Celik, B",NA,NA,NA,On generalization related to the left side of Fejer's inequalites via fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
199,P199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Choi, J; Celik, B",NA,NA,NA,A new approach to generalized of Hermite-Hadamard inequality using fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
200,P200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shabila, N",NA,NA,NA,Assessment of the Iraqi primary care referral system: reporting a high self-requested referral rate,NA,NA,ResearchGate.,10,3,4,10,NA,NA,NA,2012,NA,NA,NA,NA,1
201,P201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shackleford, JA; Shusharina, N; Verberg, J",NA,NA,NA,Plastimatch 1. 6-current capabilities and future directions,NA,NA,ResearchGate,NA,NA,108,119,NA,NA,NA,2012,NA,NA,NA,NA,1
202,P202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.",NA,NA,NA,"Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology",NA,NA,ResearchGate,6,NA,99,103,NA,NA,NA,2012,NA,NA,NA,NA,2
2021,P202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.",NA,NA,NA,"Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology",NA,NA,ResearchGate,6,NA,99,103,NA,NA,NA,2012,NA,NA,NA,NA,2
203,P203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sharbrough, FW; Chatrian, GE; Lesser, RP; Luders, H; Nuwer, M; Picton, TW",NA,NA,NA,Guideline thirteen: Guidelines for standard electrode position nomenclature American Electroencephalographic Society J Clin Neurophysiol 1994 11 111 113 8195414,NA,NA,ResearchGate,8,NA,200,202,NA,NA,NA,1991,NA,NA,NA,NA,1
204,P204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shen, L.Y.X.W.Y.Y. Chao",NA,NA,NA,An experimental and numerical study of defouling evaporator used in a wastewater source heat pump,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
205,P205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Singh, V. P.; Chowdhury, P. K",NA,NA,NA,On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs,NA,NA,Research Gate,l6,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,1
206,P206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Steeg, T.",NA,NA,NA,Systems thinking and practice: a review and analysis of key ideas and their implications for practice in design & technology education,NA,NA,ResearchGate,NA,NA,203,214,NA,NA,NA,2000,NA,NA,NA,NA,1
207,P207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stensrud, B. S.; Barrett, G. C.; Lisetti, C. L.; Gonzalez, A.",NA,NA,NA,Modeling affect in context based reasoning,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
208,P208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stephant, N.",NA,NA,NA,In: Why during SEM-EDX We Cannot Detect Nitrogen However on the Element Map Nitrogen Is Detected what Reason Could Someone Explain,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
209,P209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Straatman, J; van der Peet, DL",NA,NA,NA,C- reactive protein after major ab- dominal surgery: biochemical and clinical aspects,NA,NA,ResearchGate [Internet],NA,NA,2,2,NA,NA,NA,2015,NA,NA,NA,NA,1
210,P210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sukassini, M.; Velmurugan, T.",NA,NA,NA,Nois removal using Morphology and Median filter Methods in Mammogram Images,NA,NA,ResearchGate,NA,NA,413,419,NA,NA,NA,2016,NA,NA,NA,NA,1
211,P211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sulthan, S. M.",NA,NA,NA,Fuzzy based Maximum Power Point Tracking Controller for Stand alone Photovoltaic system using MATLAB/Simulink,NA,NA,ResearchGate,10,55,NA,NA,NA,NA,May,2015,NA,NA,NA,NA,1
212,P212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Takacs, Barnabas; Hanak, David",NA,NA,NA,A mobile system for assisted living with ambient facial interfaces,NA,NA,ResearchGate,2,NA,33,50,NA,NA,NA,2006,NA,NA,NA,NA,1
213,P213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Takamura, K.; Ueda, Y.; Irie, U.; Yamaguchi, Y.",NA,NA,NA,Immunohistology with antibodies specific to test cells in the ascidian Ciona intestinalis suggests their role in larval tunic formation,NA,NA,ResearchGate.,13,NA,241,251,NA,NA,NA,2009,NA,NA,NA,NA,1
214,P214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tan, W.; Hunley, P.; St Omer, I.",NA,NA,NA,Properties of silicon carbide nanotubes formed via reaction of SiO2 powder with SWCNTs and MWCNTs,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,DOI 10.1109/SECON.2009.5174082,NA,2009,NA,NA,NA,NA,1
215,P215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,Tan Yue; Gao Dong-sheng; Li Ling; Wet Hai-rong; Wang Jia-wei; Liu Qing-zhong,NA,NA,NA,Relationships between H2O2 metabolism and Ca2+ transport in dormancy-breaking process of nectarine floral buds.,NA,NA,Yingyong Shengtai Xuebao,26,2,425,429,1001-9332(2015)26:2<425:YTHYPM>2.0.TX;2-R,NA,Feb-15,2015,NA,NA,NA,NA,1
216,P216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tawatwachoom, T.; Khottoom, N.; Wairuangsiripon, S.; Rungrojchaipon, P.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,1,1,NA,DOI 10.13140/RG.2.1.2669.5847,NA,2015,NA,NA,NA,NA,1
217,P217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Terenin, Alexander; Draper, David",NA,NA,NA,Rigorizing and Extending the Cox-Jaynes Derivation of Probability: Implications for Statistical Practice,NA,NA,ResearchGate.net,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
218,P218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"M, Thantawi A.; S, Wicaksana I. W.; L, Wulandari",NA,NA,NA,Query Rewriting Berbasis Semantik Menggunakan WordNet dan LCh pada Search Engine Google,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
219,P219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",NA,NA,NA,The Geometry of Polychronous Wavefront Computation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
220,P220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",NA,NA,NA,A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,2
2201,P220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",NA,NA,NA,A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,2
221,P221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ticinesi, A.; Lauretani, F.; Nouvenne, A.; Porro, E.; Fanelli, G.; Maggio, M.; Meschi, T.",NA,NA,NA,C-Reactive Protein (CRP) Measurement in Geriatric Patients Hospitalized for Acute Infection,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
222,P222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Torres, J.",NA,NA,NA,Identity Management Requirements in Future Internet,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Nov.,2012,NA,NA,NA,NA,1
223,P223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Trapero, J.R.",NA,NA,NA,Estimation of solar irradiation prediction intervals combining volatility and kernel density estimates,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
224,P224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Trotteyn, M. J.",NA,NA,NA,Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
225,P225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tversky, A; Kahneman, D",NA,NA,NA,Evidential Impact of Base Rates,NA,NA,ResearchGate.,NA,NA,29,29,NA,NA,NA,1981,NA,NA,NA,NA,1
226,P226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ukani, Vijay; Thacker, Dhaval",NA,NA,NA,NA,NA,NA,QoS Aware Geographic Routing Protocol for Multimedia Transmission in Wireless Sensornetwork,NA,NA,NA,NA,NA,DOI 10.1109/NUICONE.2015.7449639,November,2015,NA,NA,NA,NA,1
227,P227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,[Anonymous],NA,NA,NA,Uncovering Excellence in Academic Rankings: A Closer Look at the Shanghai Ranking,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,14-Jul,2009,NA,NA,NA,NA,1
228,P228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yuzhakov, V.V.",NA,NA,NA,The AdminPenTM microneedle device for painless & convenient drug delivery,NA,NA,Drug Deliv.ery Technol,10,4,32,36,NA,NA,NA,2010,NA,NA,NA,NA,2
2281,P228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yuzhakov, V.V.",NA,NA,NA,The AdminPenTM microneedle device for painless & convenient drug delivery,NA,NA,Drug Deliv.ery Technol,10,4,32,36,NA,NA,NA,2010,NA,NA,NA,NA,2
229,P229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Valverde-Rebaza, J; Valejo, A",NA,NA,NA,a naive bayes model based on ovelapping groups for link prediction in online social networks,NA,NA,researchgate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
230,P230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"van Borkulo, CD; Waldorp, LJ; Boschloo, L",NA,NA,NA,Comparing network structures on three aspects: a permutation test,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
231,P231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Brakel, Van J.",NA,NA,NA,Mass transfer in convective drying,NA,NA,ResearchGate,1,NA,217,267,NA,NA,NA,1980,NA,NA,NA,NA,1
232,P232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"van der Weijde, A. H.; Hobbs, B. F.",NA,NA,NA,Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty,NA,NA,Research Gate,34,6,NA,NA,NA,NA,Nov.,2012,NA,NA,NA,NA,1
233,P233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Van Keulen, M; Otten, W; Ruiter, R; Van Steenbergen, J; Fekkes, M; Paulussen, TW",NA,NA,NA,Researchgate,NA,NA,Redenen om zich te laten vaccineren tegen HPV,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
234,P234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Vanrolleghem, P.A.; Insel, G.; Petersen, B.; Sin, G.; Pauw, D.D.; Nopens, I.; Dovermann, H.; Weijers, S.; Gernaey, K",NA,NA,NA,A comprehensive model calibration procedure for activated sludge models,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,1
235,P235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Velmurugan, D. T.",NA,NA,NA,Efficiency of k-Means and K-Medoids Algorithms for Clustering Arbitrary Data Points,NA,NA,ResearchGate,3,5,1758,1764,NA,NA,Oct.,2012,NA,NA,NA,NA,1
236,P236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Verdelhos, T.; Cardoso, P.G.; MaP, M.D",NA,NA,NA,"Latitudinal gradients in Scrobicularia plana reproduction patterns, population dynamics, growth, and secondary production",NA,NA,ResearchGate,442,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
237,P237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Voipio-Pulkki, LM; Nuutila, P; Knuuti, MJ; Ruotsalainen, U; Haaparanta, M; Teras, M",NA,NA,NA,Heart and skeletal muscle glucose disposal in type 2 diabetic patients as determined by positron emission tomography,NA,NA,ResearchGate.,34,12,2064,7,NA,NA,1-Jan,1994,NA,NA,NA,NA,1
238,P238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wang, W.; Li, S.; Qi, H.; Ayhan, B.; Kwan, C.; Vance, S.",NA,NA,NA,Revisiting the preprocessing procedures for elemental concentration estimation based on CHEMCAM LIBS on MARS Rover,NA,NA,RESEARCHGATE,NA,NA,NA,NA,NA,NA,NA,2014,6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,NA,NA,NA,1
239,P239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Watthanaworawit, W.; Turner, P.; Turner, C. L.; Tanganuchitcharnchai, A.; Jarman, E. G.; Blacksell, S. D.; Nosten, F. H.",NA,NA,NA,A prospective evaluation of diagnostic methodologies for the acute diagnosis of dengue virus infection on the Thailand-Myanmar border,NA,NA,ResearchGate,105,NA,32,37,NA,NA,NA,2010,NA,NA,NA,NA,1
